phase,label,evidence_dir,final_result,analysis_result,net_mode,linux_workers,linux_vcpus,linux_cpu_online,linux_mean_p99_max_ns,rtos_mean_p99_max_ns,udp_success,udp_mean_max_us,qcz1_success,qcz1_retransmits,qcz1_duplicate_acks,qcz1_mean_max_us,ai_success,ai_e2e_mean_max_us,tcpdump_captured,tcpdump_dropped,summary_sha256,qemu_log_sha256
after,after-tap-0w-r10000-20260814_114047,/home/kali/qc-evidence/t1-before-after-tap-fixed-114047/after/after-tap-0w-r10000-20260814_114047,PASS,PASS,tap,0,2,0-1,786370 / 2141264 / 14366752,83166 / 1290544 / 9349568,20/20,3081 / 30613,10/10,0,2,1678 / 2840,10/10,1808 / 3916,88,0,6773546271138947c27c120ebac6e684f5f1d11b80e22272f2728dfce98e9157,8d6960901f63968510bd96ec84c94eb70132608ee010710cc06e55a3b591b191
after,after-tap-2w-r10000-20260814_114224,/home/kali/qc-evidence/t1-before-after-tap-fixed-114047/after/after-tap-2w-r10000-20260814_114224,PASS,PASS,tap,2,2,0-1,949349 / 5177888 / 29571664,72137 / 927216 / 9913056,20/20,6964 / 35982,10/10,0,2,5928 / 36886,10/10,4179 / 17642,88,0,56ede8410b63afb2d60a37473a443db320867bec9cbe5029add0123e5400f653,e957a60d8a79055ed8e0a9fa02a5a8758992d82caef6d2b219fa4c72760c304d
before,before-tap-0w-r10000-20260814_114342,/home/kali/qc-evidence/t1-before-after-tap-fixed-114047/before/before-tap-0w-r10000-20260814_114342,PASS,PASS,tap,0,2,0-1,863998 / 2761120 / 13642256,51834 / 791120 / 3671568,20/20,3707 / 18136,10/10,0,2,2374 / 4251,10/10,1789 / 2090,88,0,d4ad82fa2b7b1d4e14b2c6988cabe073daf9128d4e866a68f314d0bef43a39ae,bd740112e54611cb784c9b5918e5f44ed942f2d13ae5f3414d57e45d44b4874b
before,before-tap-2w-r10000-20260814_115908,/home/kali/qc-evidence/t1-before-after-tap-fixed-114047/before/before-tap-2w-r10000-20260814_115908,PASS,PASS,tap,2,2,0-1,1259651 / 13018080 / 41490032,54287 / 1273216 / 3565712,20/20,3420 / 18889,10/10,0,2,1998 / 4652,10/10,3459 / 9056,88,0,65f89358d5e6a7b2ed790e3289a50e9dbc47c3b1c8148faaf66bf4beb2f33a26,5eec68f84f8980912684dc85b76de5cc1b2c2e10eab2c4ba7d3e70605fe4e197
