label,evidence_dir,final_result,analysis_result,missing_markers,net_mode,linux_workers,linux_vcpus,linux_cpu_online,linux_mean_p99_max_ns,rtos_mean_p99_max_ns,udp_success,udp_mean_max_us,qcz1_success,qcz1_retransmits,qcz1_duplicate_acks,qcz1_mean_max_us,ai_success,ai_e2e_mean_max_us,tcpdump_captured,tcpdump_dropped,summary_sha256,qemu_log_sha256
latest77c-hub-0w-r30000-20260815_020152,/home/kali/qc-evidence/t1-head77c-full-hub-r30000-20260815_020153/latest77c-hub-0w-r30000-20260815_020152,PASS,PASS,none,hub,0,2,0-1,816973 / 2515344 / 13780608,62336 / 855488 / 5211696,20/20,3120 / 23545,10/10,0,2,2293 / 5362,10/10,1524 / 2234,n/a,n/a,8e4de85fad2ec72c16daed90b6730da2327c0e7fb43a709fe826684b77d3680f,de68f4373e207dbb065ddce99514b5bf6ca8a28f2fabf3063b8bd0d38e3c3685
latest77c-hub-1w-r30000-20260815_020323,/home/kali/qc-evidence/t1-head77c-full-hub-r30000-20260815_020153/latest77c-hub-1w-r30000-20260815_020323,PASS,PASS,none,hub,1,2,0-1,796475 / 2715600 / 17826032,78957 / 1392224 / 3034928,20/20,2714 / 20578,10/10,0,2,1956 / 2599,10/10,1951 / 3282,n/a,n/a,8f5d07fe9193d2d4ea20d2645582ca9b6df69645b467d83d343490f22a7ff38f,785486c3b9ba23aae5ebcfe686816411cb40b0e1bdc2227306f88efc2313de36
latest77c-hub-2w-r30000-20260815_020452,/home/kali/qc-evidence/t1-head77c-full-hub-r30000-20260815_020153/latest77c-hub-2w-r30000-20260815_020452,PASS,PASS,none,hub,2,2,0-1,1277934 / 11914832 / 42321536,81453 / 1156672 / 4598080,20/20,7111 / 34774,10/10,0,2,4488 / 25177,10/10,2620 / 5261,n/a,n/a,81cd4340c04e4b5ca291f3119b91ec643aca70e41e16377c21bd35b6d6c58a2d,692ee89e7d0755a6453aba4141cdffff762e49ad550cc5692f0851cd81e2dcab
latest77c-hub-4w-r30000-20260815_020627,/home/kali/qc-evidence/t1-head77c-full-hub-r30000-20260815_020153/latest77c-hub-4w-r30000-20260815_020627,PASS,PASS,none,hub,4,2,0-1,2479969 / 13820912 / 34060800,75499 / 1344800 / 2948256,20/20,8070 / 39060,10/10,0,2,6547 / 28966,10/10,8387 / 51938,n/a,n/a,481eb043bff218f4457e7562c2a8abe62c16e9b2a8be8876f18bc942d3f4ae2b,6c2e0827d64eae5e452d8d485820f977280bde7b9b850269bedee22e46b6bd65
