role,source,linux_workers,linux_vcpus,rtos_mean_ns,rtos_p99_ns,rtos_max_ns,linux_mean_ns,linux_p99_ns,linux_max_ns,udp_ok,qcz1_ok,ai_ok,ai_mean_us,ai_max_us,tcpdump_captured,tcpdump_dropped,evidence_root
before,bb562428c69317faccf2761167d2fabc47b82a37,0,2,80937,1322960,8054832,794758,2166768,7016816,20/20,10/10,10/10,2416,6551,n/a,n/a,/home/kali/qc-evidence/t1-before1770-hub-r10000-20260814_011825
after,760e253eec50c0425eadec321d56663e400ac28b,0,2,50391,761312,1773024,948824,5220048,27038432,20/20,10/10,10/10,2322,3769,n/a,n/a,/home/kali/qc-evidence/t1-head760-hub-r10000-20260814_010458
before,bb562428c69317faccf2761167d2fabc47b82a37,1,2,74750,1123872,5085392,875693,4034768,25984544,20/20,10/10,10/10,3622,19762,n/a,n/a,/home/kali/qc-evidence/t1w1-hub-before-after-20260814_030333
after,aa9657ad3efabfcc121fd10366e3eb99c6b81b1b,1,2,58311,782080,4966544,820334,2898192,13186032,20/20,10/10,10/10,2405,5829,n/a,n/a,/home/kali/qc-evidence/t1w1-hub-before-after-20260814_030333
before,bb562428c69317faccf2761167d2fabc47b82a37,2,2,89005,1453600,4347168,958411,4704416,11699344,20/20,10/10,10/10,3406,7781,n/a,n/a,/home/kali/qc-evidence/t1-before1770-hub-r10000-20260814_011825
after,760e253eec50c0425eadec321d56663e400ac28b,2,2,72076,993408,6933952,1151354,7175200,39208656,20/20,10/10,10/10,1902,4202,n/a,n/a,/home/kali/qc-evidence/t1-head760-hub-r10000-20260814_010458
before,bb562428c69317faccf2761167d2fabc47b82a37,4,2,68513,1067280,6420496,3350749,46688208,69122784,20/20,10/10,10/10,5510,25233,n/a,n/a,/home/kali/qc-evidence/t1w4-hub-before-after-recovered-20260814_020210
after,6dddec6dc80c1695b7c299668c9c40f684fb2dca,4,2,75941,1506224,6999824,343967173,1099832160,1118971392,20/20,10/10,10/10,5475,18573,n/a,n/a,/home/kali/qc-evidence/t1w4-hub-before-after-recovered-20260814_020210
