label,evidence_dir,final_result,analysis_result,missing_markers,net_mode,linux_workers,linux_vcpus,linux_cpu_online,linux_mean_p99_max_ns,rtos_mean_p99_max_ns,udp_success,udp_mean_max_us,qcz1_success,qcz1_retransmits,qcz1_duplicate_acks,qcz1_mean_max_us,ai_success,ai_e2e_mean_max_us,tcpdump_captured,tcpdump_dropped,summary_sha256,qemu_log_sha256
latestb706-hub-0w-r30000-20260815_022916,/home/kali/qc-evidence/t1-headb706-full-hub-r30000-20260815_022916/latestb706-hub-0w-r30000-20260815_022916,PASS,PASS,none,hub,0,2,0-1,880011 / 2906144 / 14887408,80860 / 1372496 / 3525056,20/20,2840 / 23390,10/10,0,2,1775 / 3321,10/10,1755 / 2567,n/a,n/a,21aad3b4649d21c8975e378b189af52a10740201a8f85bd6513fbda58cc38f45,f6fba287905f4f424c57da455090d9018046e9f970c9a94f8e4b3380c31f271a
latestb706-hub-1w-r30000-20260815_023052,/home/kali/qc-evidence/t1-headb706-full-hub-r30000-20260815_022916/latestb706-hub-1w-r30000-20260815_023052,PASS,PASS,none,hub,1,2,0-1,941472 / 2946416 / 13479120,79733 / 1073280 / 10214304,20/20,6213 / 38747,10/10,0,2,8687 / 68432,10/10,4268 / 26773,n/a,n/a,bd1512ab638150c45d05ab699c35ccd88e6aa3aa9771856e1c5c8e05e1d8781e,852bba53a735e9a8571376d508ebd132004d992f2304e6c90d7711175daff3f5
latestb706-hub-2w-r30000-20260815_023225,/home/kali/qc-evidence/t1-headb706-full-hub-r30000-20260815_022916/latestb706-hub-2w-r30000-20260815_023225,PASS,PASS,none,hub,2,2,0-1,1145602 / 6140688 / 41388576,68059 / 820064 / 3563856,20/20,4013 / 37325,10/10,0,2,2671 / 4111,10/10,3299 / 9299,n/a,n/a,7583ac41fe77d372c206e6c32b30c5d4e51e86845621171bc979c06203ae90d4,f371bf2971e700167827a99dacab38ca12c3772403b7e567d057b88d06e96f9b
latestb706-hub-4w-r30000-20260815_023400,/home/kali/qc-evidence/t1-headb706-full-hub-r30000-20260815_022916/latestb706-hub-4w-r30000-20260815_023400,PASS,PASS,none,hub,4,2,0-1,6957097 / 233632240 / 308771040,56586 / 931056 / 2066960,20/20,10280 / 67914,10/10,0,2,4393 / 19929,10/10,8600 / 53677,n/a,n/a,571bc8ddf42ea5853c6397f6544b17e803d850acb058a6cd037d3e172f106596,7eec4438b7b9530cbfb98d57b0dabccf5f38ca8a4e15212a801edec576928e1d
