label,evidence_dir,final_result,analysis_result,missing_markers,net_mode,linux_workers,linux_vcpus,linux_cpu_online,linux_mean_p99_max_ns,rtos_mean_p99_max_ns,udp_success,udp_mean_max_us,qcz1_success,qcz1_retransmits,qcz1_duplicate_acks,qcz1_mean_max_us,ai_success,ai_e2e_mean_max_us,tcpdump_captured,tcpdump_dropped,summary_sha256,qemu_log_sha256
current-head35b-hub-2w-r30000-20260815_014300,/home/kali/qc-evidence/t1-head35b-hub-r30000-20260815_014301/current-head35b-hub-2w-r30000-20260815_014300,PASS,PASS,none,hub,2,2,0-1,1642979 / 23266016 / 70579920,82099 / 1327104 / 4914320,20/20,6742 / 48167,10/10,0,2,6454 / 43236,10/10,5562 / 36520,n/a,n/a,9af0547ad674b4ac6b1024e1aded5232896353628952577f57cadededbe1149b,ac8c2de79e3f8931f0c6e2b3f035b9022ddc2e599a82a289ca78f97ea5f31c78
current-head35b-hub-4w-r30000-20260815_014437,/home/kali/qc-evidence/t1-head35b-hub-r30000-20260815_014301/current-head35b-hub-4w-r30000-20260815_014437,PASS,PASS,none,hub,4,2,0-1,7619184 / 200841712 / 223338912,68206 / 1016480 / 2487776,20/20,6857 / 52461,10/10,0,2,2564 / 6356,10/10,3262 / 7140,n/a,n/a,27d0c9509f08dfbc0c039fa2a0a5789ec3d789ddd0a10595115fdda5491d140a,563997c79b945cf840d2dd862059cdf8a3daf32cf4b282684b640c1fa3fabad7
