run,source_head,evidence_dir,net_mode,linux_stress_workers,linux_rt_samples,analysis_result,linux_vcpus,linux_mean_ns,linux_p99_ns,linux_max_ns,rtos_mean_ns,rtos_p99_ns,rtos_max_ns,udp,qcz1,ai,ai_e2e_mean_us,ai_e2e_max_us,qemu_log_sha256
1,746042293ac61bc5cb894c6c470ae76fdc02674a,/home/kali/qc-evidence/t1-head746-2w-hub-stability-r30000-20260815_031511/run1/head746stable1-hub-2w-r30000-20260815_031511,hub,2,30000,PASS,2,1540933,17031408,46716464,72252,1015776,3080560,20/20,10/10,10/10,3057,5780,58eda90c01cd480d5e4be011ea60e07eb48efa8582feb6505f7fb3a491fb2852
2,746042293ac61bc5cb894c6c470ae76fdc02674a,/home/kali/qc-evidence/t1-head746-2w-hub-stability-r30000-20260815_031511/run2/head746stable2-hub-2w-r30000-20260815_031640,hub,2,30000,PASS,2,1321127,12056832,42801392,72798,1040304,2043904,20/20,10/10,10/10,3306,7981,0374c86d38b41ed9df156dbfaadd991786eef84a28010105217733551a6536bd
3,746042293ac61bc5cb894c6c470ae76fdc02674a,/home/kali/qc-evidence/t1-head746-2w-hub-stability-r30000-20260815_031511/run3/head746stable3-hub-2w-r30000-20260815_031811,hub,2,30000,PASS,2,1076660,5276112,38843504,70100,882896,2598624,20/20,10/10,10/10,2829,5000,839e46fc8d5e9f17327b4be395436b1657fd61942d892d5dd4d814fcdb89d629
