round,source_head,net_mode,linux_vcpus,rt_cpu,stress_cpu,stress_workers,period_ns,samples,result,linux_mean_ns,linux_p99_ns,linux_max_ns,udp_success,udp_mean_us,udp_max_us,qcz1_success,qcz1_retransmits,qcz1_duplicate_acks,qcz1_mean_us,qcz1_max_us,ai_success,ai_e2e_mean_us,ai_e2e_max_us,ai_error_mean,manual_error_mean
1,26cb43d1b219f18fd197d0f608af0da51bd8e99d,hub,2,0,1,2,10000000,3000,PASS,1892598,6453232,24793824,20/20,6125,21169,10/10,0,2,6604,12661,10/10,6538,11434,207,240
2,26cb43d1b219f18fd197d0f608af0da51bd8e99d,hub,2,0,1,2,10000000,3000,PASS,2556204,8753488,127734384,20/20,7017,41421,10/10,0,2,8347,13587,10/10,11689,49197,207,240
3,26cb43d1b219f18fd197d0f608af0da51bd8e99d,hub,2,0,1,2,10000000,3000,PASS,2000743,4720000,19240272,20/20,5067,20759,10/10,0,2,8162,18780,10/10,8250,16322,207,240
aggregate,26cb43d1b219f18fd197d0f608af0da51bd8e99d,hub,2,0,1,2,10000000,9000,3/3 PASS,2149848,8753488,127734384,60/60,6070,41421,30/30,0,6,7704,18780,30/30,8826,49197,207,240
